HEADER,,,,,,,
Name:,Main Input ,,,,,,
Type:,Fitts's Law Simulation ,,,,,,
PARAMETERS,,,,,,,
Hand:,right,,,,,,
Gain:,1,,,,,,
Player Size,5,5,5,,,,
CUBES,Name,x,y,z,xWidth,yHeight,zLength
1,1,40,100,150,5,5,5
2,2,-40,100,150,5,5,5
3,3,-40,100,150,5,5,5
4,4,-40,100,150,5,5,5
5,5,40,100,150,5,5,5
6,6,-40,100,150,5,5,5
7,7,40,100,150,5,5,5
8,8,-40,100,150,5,5,5
9,9,40,100,150,5,5,5
10,10,40,100,150,5,5,5
11,11,-40,100,150,5,5,5
12,12,-40,100,150,5,5,5
13,13,40,100,150,5,5,5
14,14,-40,100,150,5,5,5
15,15,40,100,150,5,5,5
16,16,40,100,150,5,5,5
17,17,40,100,150,5,5,5
18,18,-40,100,150,5,5,5
19,19,40,100,150,5,5,5
20,20,-40,100,150,5,5,5
END,,,,,,,
