HEADER,,,,,,,
Name:,Main Input ,,,,,,
Type:,Fitts's Law Simulation ,,,,,,
PARAMETERS,,,,,,,
Hand:,right,,,,,,
Gain:,1,,,,,,
Player Size,5,5,5,,,,
CUBES,Name,x,y,z,xWidth,yHeight,zLength
1,1,40,100,150,5,5,5
2,2,-40,100,150,5,5,5
3,3,40,100,150,5,5,5
4,4,40,100,150,5,5,5
5,5,-40,100,150,5,5,5
6,6,40,100,150,5,5,5
7,7,-40,100,150,5,5,5
8,8,-40,100,150,5,5,5
9,9,40,100,150,5,5,5
10,10,40,100,150,5,5,5
11,11,-40,100,150,5,5,5
12,12,40,100,150,5,5,5
13,13,-40,100,150,5,5,5
14,14,40,100,150,5,5,5
15,15,-40,100,150,5,5,5
16,16,-40,100,150,5,5,5
17,17,40,100,150,5,5,5
18,18,40,100,150,5,5,5
19,19,40,100,150,5,5,5
20,20,-40,100,150,5,5,5
21,21,-40,100,150,5,5,5
22,22,0,100,185,30,30,30
23,23,0,140,150,5,5,5
24,24,0,140,150,5,5,5
25,25,0,60,150,5,5,5
26,26,0,60,150,5,5,5
27,27,0,60,150,5,5,5
28,28,0,60,150,5,5,5
29,29,0,60,150,5,5,5
30,30,0,140,150,5,5,5
31,31,0,60,150,5,5,5
32,32,0,60,150,5,5,5
33,33,0,140,150,5,5,5
34,34,0,140,150,5,5,5
35,35,0,140,150,5,5,5
36,36,0,140,150,5,5,5
37,37,0,60,150,5,5,5
38,38,0,60,150,5,5,5
39,39,0,140,150,5,5,5
40,40,0,140,150,5,5,5
41,41,0,140,150,5,5,5
42,42,0,60,150,5,5,5
43,43,0,100,185,30,30,30
44,44,0,100,110,5,5,5
45,45,0,100,190,5,5,5
46,46,0,100,190,5,5,5
47,47,0,100,110,5,5,5
48,48,0,100,110,5,5,5
49,49,0,100,110,5,5,5
50,50,0,100,190,5,5,5
51,51,0,100,190,5,5,5
52,52,0,100,110,5,5,5
53,53,0,100,190,5,5,5
54,54,0,100,190,5,5,5
55,55,0,100,190,5,5,5
56,56,0,100,190,5,5,5
57,57,0,100,110,5,5,5
58,58,0,100,110,5,5,5
59,59,0,100,190,5,5,5
60,60,0,100,110,5,5,5
61,61,0,100,190,5,5,5
62,62,0,100,110,5,5,5
63,63,0,100,110,5,5,5
END,,,,,,,
